Symptom_Text,Water_Color,Water_Odor,Disease
"low blood pressure, leg cramps",Cloudy,None,Cholera
"dehydration, low blood pressure, rapid heart rate, loss of skin elasticity",Cloudy,None,Cholera
"dehydration, severe watery diarrhea",Pale,None,Cholera
"thirst, vomiting, dehydration, rapid heart rate",Cloudy,Fishy,Cholera
"dehydration, severe watery diarrhea, low blood pressure",Cloudy,Rotten,Cholera
"thirst, severe watery diarrhea",Cloudy,None,Cholera
"leg cramps, rapid heart rate, severe watery diarrhea",Pale,None,Cholera
"muscle cramps, severe watery diarrhea, leg cramps, thirst",Cloudy,Fishy,Cholera
"rapid heart rate, vomiting, severe watery diarrhea",Cloudy,None,Cholera
"thirst, dehydration, severe watery diarrhea",Cloudy,Rotten,Cholera
"thirst, muscle cramps, severe watery diarrhea, leg cramps",Pale,Fishy,Cholera
"low blood pressure, vomiting",Clear,None,Cholera
"vomiting, rapid heart rate, thirst",Pale,Rotten,Cholera
"vomiting, rapid heart rate",Cloudy,Rotten,Cholera
"low blood pressure, severe watery diarrhea, dehydration, vomiting",Cloudy,Rotten,Cholera
"low blood pressure, leg cramps, vomiting, loss of skin elasticity",Cloudy,Rotten,Cholera
"dehydration, low blood pressure",Clear,None,Cholera
"thirst, loss of skin elasticity",Pale,None,Cholera
"leg cramps, vomiting, muscle cramps, thirst",Cloudy,Fishy,Cholera
"severe watery diarrhea, vomiting, thirst, loss of skin elasticity",Cloudy,Fishy,Cholera
"low blood pressure, dehydration, thirst",Pale,Fishy,Cholera
"rapid heart rate, vomiting, dehydration",Cloudy,Rotten,Cholera
"vomiting, rapid heart rate, loss of skin elasticity",Clear,None,Cholera
"low blood pressure, thirst, loss of skin elasticity",Pale,Rotten,Cholera
"thirst, loss of skin elasticity, dehydration, rapid heart rate",Pale,Rotten,Cholera
"severe watery diarrhea, thirst, vomiting, low blood pressure",Pale,None,Cholera
"loss of skin elasticity, rapid heart rate, leg cramps, severe watery diarrhea",Cloudy,Rotten,Cholera
"rapid heart rate, leg cramps",Pale,Fishy,Cholera
"vomiting, dehydration, thirst",Pale,None,Cholera
"leg cramps, dehydration, severe watery diarrhea",Clear,Fishy,Cholera
"muscle cramps, dehydration, leg cramps",Pale,None,Cholera
"thirst, loss of skin elasticity, muscle cramps, leg cramps",Cloudy,Fishy,Cholera
"muscle cramps, severe watery diarrhea, vomiting",Pale,Fishy,Cholera
"thirst, vomiting, severe watery diarrhea",Cloudy,None,Cholera
"dehydration, rapid heart rate, loss of skin elasticity",Pale,None,Cholera
"thirst, rapid heart rate, low blood pressure",Pale,None,Cholera
"rapid heart rate, low blood pressure, leg cramps, muscle cramps",Pale,Fishy,Cholera
"dehydration, thirst, loss of skin elasticity",Pale,Rotten,Cholera
"muscle cramps, leg cramps",Pale,None,Cholera
"thirst, low blood pressure, vomiting",Pale,Rotten,Cholera
"low blood pressure, severe watery diarrhea, loss of skin elasticity",Cloudy,None,Cholera
"loss of skin elasticity, muscle cramps, rapid heart rate, leg cramps",Cloudy,None,Cholera
"severe watery diarrhea, dehydration, leg cramps, low blood pressure",Pale,Fishy,Cholera
"muscle cramps, dehydration",Pale,Fishy,Cholera
"vomiting, dehydration, severe watery diarrhea, low blood pressure",Clear,None,Cholera
"loss of skin elasticity, rapid heart rate",Clear,Fishy,Cholera
"loss of skin elasticity, severe watery diarrhea, rapid heart rate",Clear,Rotten,Cholera
"thirst, severe watery diarrhea, vomiting",Clear,None,Cholera
"rapid heart rate, low blood pressure",Cloudy,None,Cholera
"thirst, low blood pressure, rapid heart rate, muscle cramps",Cloudy,Fishy,Cholera
"dehydration, leg cramps",Pale,Rotten,Cholera
"leg cramps, loss of skin elasticity",Cloudy,None,Cholera
"low blood pressure, loss of skin elasticity, muscle cramps",Cloudy,Fishy,Cholera
"leg cramps, rapid heart rate, severe watery diarrhea",Cloudy,None,Cholera
